Words	IPA	Gender	Audio
the	ðə	M	Words/the.wav
be	bi	M	Words/be.wav
and	ænd	M	Words/and.wav
of	ʌv	M	Words/of.wav
a	æ	M	Words/a.wav
have	hæv	M	Words/have.wav
to	tu	M	Words/to.wav
it	ɪt	M	Words/it.wav
I	aɪ	M	Words/I.wav
for	fɔr	M	Words/for.wav
you	ju	M	Words/you.wav
he	hi	M	Words/he.wav
with	wɪð	M	Words/with.wav
do	du	M	Words/do.wav
say	seɪ	M	Words/say.wav
this	ðɪs	M	Words/this.wav
they	ðeɪ	M	Words/they.wav
at	æt	M	Words/at.wav
but	bʌt	M	Words/but.wav
we	wi	M	Words/we.wav
his	hɪz	M	Words/his.wav
from	frʌm	M	Words/from.wav
that	ðæt	M	Words/that.wav
not	nɑt	M	Words/not.wav
by	baɪ	M	Words/by.wav
she	ʃi	M	Words/she.wav
or	ɔr	M	Words/or.wav
what	wʌt	M	Words/what.wav
go	goʊ	M	Words/go.wav
their	ðɛr	M	Words/their.wav
can	kæn	M	Words/can.wav
who	hu	M	Words/who.wav
get	gɛt	M	Words/get.wav
if	ɪf	M	Words/if.wav
would	wʊd	M	Words/would.wav
my	maɪ	M	Words/my.wav
make	meɪk	M	Words/make.wav
know	noʊ	M	Words/know.wav
will	wɪl	M	Words/will.wav
up	ʌp	M	Words/up.wav
time	taɪm	M	Words/time.wav
year	jɪr	M	Words/year.wav
think	θɪŋk	M	Words/think.wav
which	wɪʧ	M	Words/which.wav
them	ðɛm	M	Words/them.wav
some	sʌm	M	Words/some.wav
me	mi	M	Words/me.wav
people	ˈpipəl	M	Words/people.wav
take	teɪk	M	Words/take.wav
into	ˈɪntu	M	Words/into.wav
just	ʤʌst	M	Words/just.wav
see	si	M	Words/see.wav
him	hɪm	M	Words/him.wav
your	jʊər	M	Words/your.wav
come	kʌm	M	Words/come.wav
could	kʊd	M	Words/could.wav
now	naʊ	M	Words/now.wav
than	ðæn	M	Words/than.wav
other	ˈʌðər	M	Words/other.wav
how	haʊ	M	Words/how.wav
then	ðɛn	M	Words/then.wav
our	ˈaʊər	M	Words/our.wav
two	tu	M	Words/two.wav
these	ðiz	M	Words/these.wav
want	wɑnt	M	Words/want.wav
way	weɪ	M	Words/way.wav
look	lʊk	M	Words/look.wav
first	fɜrst	M	Words/first.wav
also	ˈɔlsoʊ	M	Words/also.wav
new	nu	M	Words/new.wav
because	bɪˈkɔz	M	Words/because.wav
day	deɪ	M	Words/day.wav
more	mɔr	M	Words/more.wav
use	juz	M	Words/use.wav
no	noʊ	M	Words/no.wav
man	mən	M	Words/man.wav
find	faɪnd	M	Words/find.wav
here	hir	M	Words/here.wav
thing	θɪŋ	M	Words/thing.wav
give	gɪv	M	Words/give.wav
many	ˈmɛni	M	Words/many.wav
well	wɛl	M	Words/well.wav
those	ðoʊz	M	Words/those.wav
tell	tɛl	M	Words/tell.wav
one	wʌn	M	Words/one.wav
very	ˈvɛri	M	Words/very.wav
her	hɜr	M	Words/her.wav
even	ˈivɪn	M	Words/even.wav
any	ˈɛni	M	Words/any.wav
good	gʊd	M	Words/good.wav
woman	ˈwʊmən	M	Words/woman.wav
through	θru	M	Words/through.wav
us	ʌs	M	Words/us.wav
life	laɪf	M	Words/life.wav
child	ʧaɪld	M	Words/child.wav
there	ðɛr	M	Words/there.wav
down	daʊn	M	Words/down.wav
may	meɪ	M	Words/may.wav
should	ʃʊd	M	Words/should.wav
call	kɔl	M	Words/call.wav
